scorer,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000,DeepCut_resnet50_vocalJun10shuffle1_1030000
bodyparts,AC,AC,AC,LC1,LC1,LC1,LC2,LC2,LC2,LC3,LC3,LC3,LC4,LC4,LC4,LC5,LC5,LC5,LVP,LVP,LVP,RC1,RC1,RC1,RC2,RC2,RC2,RC3,RC3,RC3,RC4,RC4,RC4,RC5,RC5,RC5,RVP,RVP,RVP
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
labeled-data\vocal\img0096.png,246.63419461250305,191.50620889663696,0.9999586343765259,248.43625116348267,179.71049895882607,1.0,249.11214876174927,170.71118259429932,1.0,250.0027322769165,161.2536106109619,1.0,249.54222059249878,151.16315913200378,1.0,249.21305513381958,142.221675157547,0.31206268072128296,213.8850393295288,145.2266721725464,7.709962665103376e-05,238.3158881664276,183.2225296497345,1.0,234.2106761932373,174.64979004859924,1.0,227.61014986038208,168.1194624900818,1.0,220.82957118749619,160.75926733016968,1.0,216.41302728652954,154.7134313583374,1.0,210.95161986351013,148.95174407958984,1.0
labeled-data\vocal\img0327.png,251.39887046813965,157.02041339874268,1.0,252.27752017974854,149.50984716415405,1.0,252.04821681976318,142.43737745285034,1.0,252.4054594039917,133.5660629272461,1.0,249.3854215145111,125.140167593956,0.9892275333404541,251.6783617734909,140.10243320465088,4.221607241561287e-07,248.70880436897278,154.22395014762878,3.6698220355901867e-06,250.68080139160156,149.6050330400467,1.0,249.21407556533813,143.53227543830872,1.0,248.50470209121704,135.0268623828888,1.0,247.12827491760254,127.75904321670532,0.0055666458792984486,249.31563138961792,123.17984771728516,1.1280965281912358e-06,244.96202337741852,136.04404067993164,6.272479708968604e-07
labeled-data\vocal\img1311.png,229.69351828098297,240.46540760993958,1.0,229.88141191005707,234.5007745027542,1.0,231.06759667396545,227.07775282859802,1.0,232.219575881958,219.64783027768135,1.0,232.1603045463562,212.4423725605011,1.0,232.42412948608398,203.7226003408432,0.01376363169401884,227.1469020843506,238.2860028743744,3.273672291470575e-06,227.16248279809952,234.6644891500473,1.0,225.04056978225708,228.10482680797577,1.0,220.07212551683187,223.19434666633606,1.0,217.4916214942932,214.86992740631104,1.0,212.80159652233124,209.89587426185608,0.9999997615814209,209.85328006744385,204.58501034975052,0.9999552965164185
labeled-data\vocal\img0566.png,215.84467387199402,230.66680669784546,1.0,218.4128942489624,219.60225582122803,1.0,218.67080116271973,208.5038275718689,1.0,218.55174922943115,198.38035774230957,1.0,220.39025020599365,186.63448333740234,1.0,219.99063301179558,175.95169067382812,0.9999996423721313,211.16236686706543,221.84347867965698,0.00012887446791864932,209.79795598983765,221.7009105682373,1.0,205.11660385131836,212.20950317382812,1.0,200.77669954299927,203.15853595733643,1.0,192.89704084396362,193.6419129371643,1.0,186.82690715789795,185.08210515975952,1.0,179.0823941230774,175.95046043395996,1.0
labeled-data\vocal\img0588.png,224.28524780273438,198.92442965507507,0.9999966621398926,224.40476846694946,191.93637657165527,1.0,224.7884702682495,182.6063632965088,1.0,224.9828541278839,173.79004669189453,1.0,224.7001760005951,165.10912585258484,0.9999961853027344,227.06521463394165,157.140230178833,0.00034310613409616053,221.26486694812775,193.29763984680176,2.7680277980834944e-06,223.83531141281128,190.97428441047668,1.0,222.82119941711426,183.31074976921082,1.0,222.49635076522827,173.80624520778656,1.0,221.29157650470734,164.12638759613037,0.9950475692749023,218.73203361034393,158.92935276031494,3.040992669411935e-05,219.19674015045166,189.40292835235596,3.248130155952822e-07
labeled-data\vocal\img0613.png,240.71410512924194,172.1417425274849,1.0,243.82238817214966,165.63365614414215,1.0,244.79340708255768,159.09561157226562,1.0,246.31723046302795,151.41875314712524,1.0,244.95356971025467,142.1549780368805,0.9999997615814209,251.0240896344185,139.0412826538086,2.0570148535625776e-06,241.35244131088257,170.72474420070648,1.0306473996024579e-05,240.55346155166626,165.55963671207428,1.0,241.2724723815918,159.64709424972534,1.0,241.88669872283936,151.6948962211609,1.0,241.64828777313232,145.2505066394806,0.3388187885284424,243.78055095672607,141.45587825775146,1.1228092944293167e-06,239.15667033195496,173.68371438980103,8.091976269497536e-06
labeled-data\vocal\img1895.png,248.02228832244873,174.89083456993103,1.0,250.57061767578125,164.37145614624023,1.0,251.1451187133789,150.78385090827942,1.0,251.29691791534424,138.04793310165405,1.0,252.35869884490967,122.6429648399353,1.0,252.41785779595375,107.38541030883789,0.9999998807907104,214.2152500152588,106.7568986415863,0.00010323365131625906,243.94160077348351,165.20787239074707,1.0,239.4328808784485,153.40789985656738,1.0,234.76884043216705,141.47920036315918,1.0,227.45705366134644,130.44573831558228,1.0,219.8906831741333,119.39513397216797,1.0,209.95933890342712,108.841383934021,1.0
labeled-data\vocal\img0012.png,212.88771057128906,207.61307573318481,3.0597186650993535e-06,5.864262223243713,5.492004871368408,1.380060894007329e-06,3.0395249724388123,1.7223963737487793,1.3923992128184182e-06,-1.9673271179199219,4.908744513988495,1.4115988733465201e-06,226.94535958766937,200.5054349899292,0.0006917553837411106,224.26752376556396,195.6398458480835,5.4574597015744075e-05,215.10638427734375,194.67993009090424,1.950994828803232e-06,209.01769733428955,206.65044903755188,2.3290695025934838e-06,213.30120468139648,207.09651565551758,6.70221254495118e-07,218.24611854553223,209.6753134727478,4.2809265323739965e-06,217.72574043273926,207.14288806915283,0.5691446661949158,213.68263280391693,202.72354447841644,0.9993185997009277,207.3972954750061,198.31398153305054,0.999997615814209
